iter	Passed	Remaining
453	1150	1383
454	1153	1381
455	1155	1379
456	1157	1375
457	1160	1373
458	1162	1370
459	1164	1367
460	1167	1364
461	1169	1361
462	1171	1358
463	1174	1356
464	1176	1353
465	1179	1351
466	1181	1348
467	1183	1345
468	1185	1342
469	1187	1339
470	1189	1336
471	1191	1333
472	1194	1331
473	1196	1328
474	1199	1325
475	1201	1322
476	1204	1320
477	1206	1317
478	1209	1315
479	1211	1312
480	1214	1310
481	1216	1307
482	1219	1305
483	1222	1303
484	1225	1301
485	1227	1298
486	1229	1295
487	1232	1292
488	1233	1289
489	1235	1285
490	1237	1282
491	1239	1279
492	1241	1276
493	1243	1274
494	1245	1270
495	1248	1268
496	1250	1265
497	1251	1261
498	1253	1258
499	1257	1257
500	1258	1253
501	1261	1251
502	1263	1248
503	1265	1245
504	1267	1242
505	1269	1239
506	1271	1236
507	1274	1234
508	1276	1231
509	1278	1228
510	1281	1226
511	1283	1223
512	1286	1221
513	1288	1218
514	1292	1216
515	1294	1214
516	1297	1212
517	1299	1209
518	1301	1206
519	1304	1204
520	1306	1201
521	1308	1198
522	1311	1195
523	1313	1193
524	1316	1190
525	1318	1188
526	1321	1185
527	1323	1183
528	1325	1180
529	1327	1177
530	1329	1174
531	1331	1171
532	1334	1169
533	1336	1166
534	1339	1163
535	1341	1161
536	1344	1158
537	1346	1156
538	1348	1153
539	1350	1150
540	1353	1148
541	1355	1145
542	1358	1143
543	1360	1140
544	1363	1138
545	1365	1135
546	1367	1132
547	1370	1130
548	1372	1127
549	1374	1124
550	1376	1121
551	1379	1119
552	1381	1116
553	1384	1114
554	1386	1111
555	1390	1110
556	1393	1108
557	1396	1106
558	1399	1104
559	1403	1102
560	1405	1099
561	1408	1097
562	1410	1094
563	1412	1091
564	1414	1089
565	1416	1086
566	1419	1084
567	1421	1080
568	1423	1078
569	1425	1075
570	1428	1073
571	1431	1071
572	1433	1068
573	1436	1066
574	1438	1063
575	1440	1060
576	1443	1057
577	1444	1054
578	1446	1052
579	1449	1049
580	1451	1046
581	1454	1044
582	1456	1041
583	1458	1038
584	1461	1036
585	1463	1033
586	1465	1031
587	1467	1028
588	1470	1026
589	1473	1023
590	1475	1020
591	1477	1018
592	1479	1015
593	1481	1012
594	1483	1009
595	1485	1006
596	1487	1004
597	1490	1001
598	1492	999
599	1494	996
600	1497	993
601	1499	991
602	1500	988
603	1502	985
604	1504	982
605	1506	979
606	1509	977
607	1511	974
608	1513	971
609	1515	968
610	1519	967
611	1521	964
612	1524	962
613	1526	959
614	1527	956
615	1530	954
616	1533	951
617	1535	948
618	1537	946
619	1540	943
620	1541	940
621	1543	938
622	1545	935
623	1547	932
624	1550	930
625	1552	927
626	1554	924
627	1556	922
628	1558	919
629	1560	916
630	1563	914
631	1565	911
632	1568	909
633	1569	906
634	1572	903
635	1574	901
636	1576	898
637	1579	896
638	1581	893
639	1583	890
640	1586	888
641	1587	885
642	1590	883
643	1592	880
644	1595	877
645	1597	875
646	1600	873
647	1603	870
648	1605	868
649	1607	865
650	1609	863
651	1612	860
652	1614	857
653	1617	855
654	1618	852
655	1621	850
656	1623	847
657	1626	845
658	1628	842
659	1630	839
660	1632	837
661	1634	834
662	1636	831
663	1639	829
664	1640	826
665	1642	823
666	1644	820
667	1646	818
668	1648	815
669	1650	812
670	1652	810
671	1654	807
672	1656	804
673	1658	802
674	1660	799
675	1663	797
676	1665	794
677	1667	791
678	1669	789
679	1672	786
680	1674	784
681	1676	781
682	1678	778
683	16683	169684	16684	169685	16685	169686	16686	169687	16687	170688	16688	170689	16689	170690	16690	170691	16691	171692	17692	171693	17693	171694	17694	171695	17695	172696	17696	172697	17697	172698	17698	172699	17699	173700	17700	173701	17701	173702	17702	173703	17703	173704	17704	174705	17705	174706	17706	174707	17707	174708	17708	175709	17709	175710	17710	1755	713
711	175712	17712	1760	708
